timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655517283158,17104,Create Warehouse,42501 3001,"net.snowflake.client.jdbc.SnowflakeSQLException: SQL access control error:
Insufficient privileges to operate on account 'CR89670'",warmUpThread Group 1-1,text,false,,81,0,1,1,null,0,0,16861
1655517300266,146,Alter Warehouse,02000 2003,"net.snowflake.client.jdbc.SnowflakeSQLException: SQL compilation error:
Warehouse 'JMETER_WH_S' does not exist or not authorized.",warmUpThread Group 1-1,text,false,,80,0,1,1,null,0,0,0
1655517300412,117,Use Schema,200,OK,warmUpThread Group 1-1,text,true,,40,0,1,1,null,116,0,0
1655517300581,1535,Q73A,57P03 606,"net.snowflake.client.jdbc.SnowflakeSQLException: No active warehouse selected in the current session.  Select an active warehouse with the 'use warehouse' command.
",Query Group 1-1,text,false,,115,0,1,1,null,0,0,0
